run_number,layers,heads,epochs,train_steps,context_length,embd_dim,batch_size,domain_config,domain_id,experiment_type,use_standard_dataset,debug_mode,status
180,1,4,400,100000,48,64,512,domains.ini,C,comparison,true,false,completed
181,1,4,400,400000,12,16,256,domains.ini,A,comparison,true,false,completed
182,1,4,400,400000,12,16,256,domains.ini,C,comparison,true,false,completed
183,1,4,400,400000,12,16,512,domains.ini,A,comparison,true,false,completed
184,1,4,400,400000,12,16,512,domains.ini,C,comparison,true,false,completed
185,1,4,400,400000,12,32,256,domains.ini,A,comparison,true,false,completed
186,1,4,400,400000,12,32,256,domains.ini,C,comparison,true,false,completed
187,1,4,400,400000,12,32,512,domains.ini,A,comparison,true,false,launched
188,1,4,400,400000,12,32,512,domains.ini,C,comparison,true,false,completed
189,1,4,400,400000,12,64,256,domains.ini,A,comparison,true,false,completed
190,1,4,400,400000,12,64,256,domains.ini,C,comparison,true,false,completed
191,1,4,400,400000,12,64,512,domains.ini,A,comparison,true,false,completed
192,1,4,400,400000,12,64,512,domains.ini,C,comparison,true,false,completed
193,1,4,400,400000,24,16,256,domains.ini,A,comparison,true,false,completed
194,1,4,400,400000,24,16,256,domains.ini,C,comparison,true,false,completed
195,1,4,400,400000,24,16,512,domains.ini,A,comparison,true,false,completed
196,1,4,400,400000,24,16,512,domains.ini,C,comparison,true,false,completed
197,1,4,400,400000,24,32,256,domains.ini,A,comparison,true,false,completed
198,1,4,400,400000,24,32,256,domains.ini,C,comparison,true,false,completed
199,1,4,400,400000,24,32,512,domains.ini,A,comparison,true,false,completed
200,1,4,400,400000,24,32,512,domains.ini,C,comparison,true,false,completed
201,1,4,400,400000,24,64,256,domains.ini,A,comparison,true,false,completed
202,1,4,400,400000,24,64,256,domains.ini,C,comparison,true,false,completed
203,1,4,400,400000,24,64,512,domains.ini,A,comparison,true,false,completed
204,1,4,400,400000,24,64,512,domains.ini,C,comparison,true,false,completed
205,1,4,400,400000,48,16,256,domains.ini,A,comparison,true,false,completed
206,1,4,400,400000,48,16,256,domains.ini,C,comparison,true,false,completed
207,1,4,400,400000,48,16,512,domains.ini,A,comparison,true,false,completed
208,1,4,400,400000,48,16,512,domains.ini,C,comparison,true,false,completed
209,1,4,400,400000,48,32,256,domains.ini,A,comparison,true,false,completed
210,1,4,400,400000,48,32,256,domains.ini,C,comparison,true,false,completed
211,1,4,400,400000,48,32,512,domains.ini,A,comparison,true,false,completed
212,1,4,400,400000,48,32,512,domains.ini,C,comparison,true,false,completed
213,1,4,400,400000,48,64,256,domains.ini,A,comparison,true,false,completed
214,1,4,400,400000,48,64,256,domains.ini,C,comparison,true,false,completed
215,1,4,400,400000,48,64,512,domains.ini,A,comparison,true,false,completed
216,1,4,400,400000,48,64,512,domains.ini,C,comparison,true,false,completed
217,2,1,400,100000,12,16,256,domains.ini,A,comparison,true,false,completed
218,2,1,400,100000,12,16,256,domains.ini,C,comparison,true,false,completed
219,2,1,400,100000,12,16,512,domains.ini,A,comparison,true,false,completed
220,2,1,400,100000,12,16,512,domains.ini,C,comparison,true,false,completed
221,2,1,400,100000,12,32,256,domains.ini,A,comparison,true,false,completed
222,2,1,400,100000,12,32,256,domains.ini,C,comparison,true,false,completed
223,2,1,400,100000,12,32,512,domains.ini,A,comparison,true,false,completed
224,2,1,400,100000,12,32,512,domains.ini,C,comparison,true,false,completed
225,2,1,400,100000,12,64,256,domains.ini,A,comparison,true,false,completed
226,2,1,400,100000,12,64,256,domains.ini,C,comparison,true,false,completed
227,2,1,400,100000,12,64,512,domains.ini,A,comparison,true,false,completed
228,2,1,400,100000,12,64,512,domains.ini,C,comparison,true,false,completed
229,2,1,400,100000,24,16,256,domains.ini,A,comparison,true,false,completed
230,2,1,400,100000,24,16,256,domains.ini,C,comparison,true,false,completed
231,2,1,400,100000,24,16,512,domains.ini,A,comparison,true,false,completed
232,2,1,400,100000,24,16,512,domains.ini,C,comparison,true,false,completed
233,2,1,400,100000,24,32,256,domains.ini,A,comparison,true,false,completed
234,2,1,400,100000,24,32,256,domains.ini,C,comparison,true,false,completed
235,2,1,400,100000,24,32,512,domains.ini,A,comparison,true,false,completed
236,2,1,400,100000,24,32,512,domains.ini,C,comparison,true,false,completed
237,2,1,400,100000,24,64,256,domains.ini,A,comparison,true,false,completed
238,2,1,400,100000,24,64,256,domains.ini,C,comparison,true,false,completed
239,2,1,400,100000,24,64,512,domains.ini,A,comparison,true,false,completed
240,2,1,400,100000,24,64,512,domains.ini,C,comparison,true,false,completed
241,2,1,400,100000,48,16,256,domains.ini,A,comparison,true,false,launched
242,2,1,400,100000,48,16,256,domains.ini,C,comparison,true,false,launched
243,2,1,400,100000,48,16,512,domains.ini,A,comparison,true,false,completed
244,2,1,400,100000,48,16,512,domains.ini,C,comparison,true,false,completed
245,2,1,400,100000,48,32,256,domains.ini,A,comparison,true,false,launched
246,2,1,400,100000,48,32,256,domains.ini,C,comparison,true,false,launched
247,2,1,400,100000,48,32,512,domains.ini,A,comparison,true,false,completed
248,2,1,400,100000,48,32,512,domains.ini,C,comparison,true,false,completed
249,2,1,400,100000,48,64,256,domains.ini,A,comparison,true,false,launched
250,2,1,400,100000,48,64,256,domains.ini,C,comparison,true,false,launched
251,2,1,400,100000,48,64,512,domains.ini,A,comparison,true,false,completed
252,2,1,400,100000,48,64,512,domains.ini,C,comparison,true,false,completed
253,2,1,400,400000,12,16,256,domains.ini,A,comparison,true,false,completed
254,2,1,400,400000,12,16,256,domains.ini,C,comparison,true,false,completed
255,2,1,400,400000,12,16,512,domains.ini,A,comparison,true,false,completed
256,2,1,400,400000,12,16,512,domains.ini,C,comparison,true,false,completed
257,2,1,400,400000,12,32,256,domains.ini,A,comparison,true,false,completed
258,2,1,400,400000,12,32,256,domains.ini,C,comparison,true,false,completed
259,2,1,400,400000,12,32,512,domains.ini,A,comparison,true,false,completed
260,2,1,400,400000,12,32,512,domains.ini,C,comparison,true,false,completed
