model_id,experiment_type,domain_config,domain_id,model_type,num_samples,num_parameters,max_steps,run_number,sequence_length,n_layer,n_head,n_embd,epochs,max_lr,task_id,compile,predict,eval_interval,checkpoint_interval,enforce_data_epochs,batch_size,choice_only,best_val_full_loss,best_val_full_loss_step,best_val_choice_loss,best_val_choice_loss_step,best_val_reward_loss,best_val_reward_loss_step
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,35000,64,48,1,1,16,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7529451847076416,33950,0.2567746937274933,350,0.6487895846366882,1050
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,70200,61,48,1,1,16,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7524145841598511,70200,0.2788736820220947,702,0.6532475352287292,1404
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,70200,62,48,1,1,16,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7524145841598511,70200,0.2788736820220947,702,0.6532475352287292,1404
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,35000,67,48,1,1,32,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7500950694084167,35000,0.2736873626708984,350,0.6178836822509766,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,70200,65,48,1,1,32,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7497414350509644,70200,0.2925814092159271,70200,0.6356416344642639,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,35000,68,48,1,1,32,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7500950694084167,35000,0.2736873626708984,350,0.6178836822509766,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,70200,66,48,1,1,32,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7497414350509644,70200,0.2925814092159271,70200,0.6356416344642639,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,35000,71,48,1,1,64,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7493448257446289,34650,0.2926056683063507,35000,0.6293399930000305,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,70200,69,48,1,1,64,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7484203577041626,70200,0.2894081771373749,702,0.6455051302909851,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,70200,70,48,1,1,64,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7484203577041626,70200,0.2894081771373749,702,0.6455051302909851,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,35000,72,48,1,1,64,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7493448257446289,34650,0.2926056683063507,35000,0.6293399930000305,350
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,37800,75,12,1,2,16,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7595015168190002,37800,0.244949609041214,378,0.652851939201355,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,37800,76,12,1,2,16,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7595015168190002,37800,0.244949609041214,378,0.652851939201355,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,37800,79,12,1,2,32,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7586055397987366,37800,0.2686010301113128,378,0.6218706965446472,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,75800,73,12,1,2,16,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7591584920883179,75042,0.2839879095554352,758,0.6544539928436279,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,75800,74,12,1,2,16,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7591584920883179,75042,0.2839879095554352,758,0.6544539928436279,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,37800,80,12,1,2,32,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7586055397987366,37800,0.2686010301113128,378,0.6218706965446472,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,75800,77,12,1,2,32,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7587435841560364,75800,0.283506840467453,1516,0.6487905383110046,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,75800,78,12,1,2,32,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7587435841560364,75800,0.283506840467453,1516,0.6487905383110046,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,37800,83,12,1,2,64,400,0.0006,,False,False,378,1000000.0,False,512,False,0.759148359298706,32130,0.2945246398448944,37800,0.6335006952285767,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,75800,81,12,1,2,64,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7594355344772339,75800,0.2831646800041199,1516,0.6356923580169678,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,37800,84,12,1,2,64,400,0.0006,,False,False,378,1000000.0,False,512,False,0.759148359298706,32130,0.2945246398448944,37800,0.6335006952285767,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,75800,82,12,1,2,64,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7594355344772339,75800,0.2831646800041199,1516,0.6356923580169678,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,37000,87,24,1,2,16,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7534263134002686,37000,0.2488437294960022,370,0.6493478417396545,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,37000,88,24,1,2,16,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7534263134002686,37000,0.2488437294960022,370,0.6493478417396545,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,74000,85,24,1,2,16,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7533162832260132,74000,0.281709611415863,740,0.6583355069160461,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,37000,91,24,1,2,32,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7514007687568665,37000,0.2662138640880584,370,0.6178115010261536,370
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,37000,92,24,1,2,32,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7514007687568665,37000,0.2662138640880584,370,0.6178115010261536,370
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,74000,86,24,1,2,16,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7533162832260132,74000,0.281709611415863,740,0.6583355069160461,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,74000,89,24,1,2,32,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7514495849609375,74000,0.2890256643295288,11100,0.6537328362464905,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,74000,90,24,1,2,32,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7514495849609375,74000,0.2890256643295288,11100,0.6537328362464905,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,37000,95,24,1,2,64,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7515029907226562,36260,0.2929178178310394,37000,0.6304891109466553,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,37000,96,24,1,2,64,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7515029907226562,36260,0.2929178178310394,37000,0.6304891109466553,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,74000,93,24,1,2,64,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7526513338088989,70300,0.2829714715480804,740,0.6304923892021179,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,74000,94,24,1,2,64,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7526513338088989,70300,0.2829714715480804,740,0.6304923892021179,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,35000,99,48,1,2,16,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7483521699905396,35000,0.2567889392375946,350,0.647434413433075,1050
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,70200,97,48,1,2,16,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7463060617446899,70200,0.2783598601818084,702,0.655086874961853,1404
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,35000,100,48,1,2,16,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7483521699905396,35000,0.2567889392375946,350,0.647434413433075,1050
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,70200,98,48,1,2,16,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7463060617446899,70200,0.2783598601818084,702,0.655086874961853,1404
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,35000,103,48,1,2,32,400,0.0006,,False,False,350,1000000.0,False,512,False,0.745606541633606,33600,0.2734619379043579,350,0.6182429790496826,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,35000,104,48,1,2,32,400,0.0006,,False,False,350,1000000.0,False,512,False,0.745606541633606,33600,0.2734619379043579,350,0.6182429790496826,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,70200,102,48,1,2,32,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7460796236991882,70200,0.2852528691291809,14742,0.6356509923934937,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,70200,101,48,1,2,32,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7460796236991882,70200,0.2852528691291809,14742,0.6356509923934937,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,35000,107,48,1,2,64,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7468926310539246,27300,0.292447954416275,35000,0.6289598345756531,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,35000,108,48,1,2,64,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7468926310539246,27300,0.292447954416275,35000,0.6289598345756531,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,70200,105,48,1,2,64,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7473157644271851,70200,0.2868970930576324,11232,0.6454625725746155,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,70200,106,48,1,2,64,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7473157644271851,70200,0.2868970930576324,11232,0.6454625725746155,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,37800,111,12,1,2,16,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7595015168190002,37800,0.244949609041214,378,0.652851939201355,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,37800,112,12,1,2,16,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7595015168190002,37800,0.244949609041214,378,0.652851939201355,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,75800,110,12,1,2,16,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7591584920883179,75042,0.2839879095554352,758,0.6544539928436279,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,75800,109,12,1,2,16,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7591584920883179,75042,0.2839879095554352,758,0.6544539928436279,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,37800,115,12,1,2,32,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7586055397987366,37800,0.2686010301113128,378,0.6218706965446472,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,37800,116,12,1,2,32,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7586055397987366,37800,0.2686010301113128,378,0.6218706965446472,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,75800,113,12,1,2,32,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7587435841560364,75800,0.283506840467453,1516,0.6487905383110046,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,75800,114,12,1,2,32,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7587435841560364,75800,0.283506840467453,1516,0.6487905383110046,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,37800,119,12,1,2,64,400,0.0006,,False,False,378,1000000.0,False,512,False,0.759148359298706,32130,0.2945246398448944,37800,0.6335006952285767,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,37800,120,12,1,2,64,400,0.0006,,False,False,378,1000000.0,False,512,False,0.759148359298706,32130,0.2945246398448944,37800,0.6335006952285767,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,75800,117,12,1,2,64,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7594355344772339,75800,0.2831646800041199,1516,0.6356923580169678,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,75800,118,12,1,2,64,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7594355344772339,75800,0.2831646800041199,1516,0.6356923580169678,0
